countryData,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Afghanistan,Southern Asia,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,15,2,3
Albania,Southern Europe,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Algeria,Northern Africa,2,2,2,2,3,8,6,3,2,3,7,3,3,3,2,4,2,3,4,3
Andorra,Southern Europe,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Angola,Middle Africa,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Antarctica,Antarctica,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Argentina,South America,9,8,9,7,7,9,13,10,7,7,14,7,8,7,11,8,8,10,24,11
Armenia,Western Asia,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2
Australia,Australia and New Zealand,27,23,21,19,19,18,18,17,14,14,15,14,13,15,18,16,22,13,15,14
Austria,Western Europe,6,6,5,5,5,3,4,3,3,3,3,3,3,3,3,3,4,6,4,3
Azerbaijan,Western Asia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
Bangladesh,Southern Asia,1,1,1,2,2,2,2,2,3,4,4,5,5,4,5,5,5,6,7,12
Belarus,Eastern Europe,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2
Belgium,Western Europe,8,7,6,6,6,5,6,5,4,4,7,4,5,4,11,4,5,7,6,4
Belize,Central America,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,South America,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,3,2,2,2,2
Bosnia and Herzegovina,Southern Europe,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
Botswana,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,South America,12,13,16,11,12,14,20,13,14,16,33,13,17,13,23,16,16,18,25,15
Brunei,South-Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bulgaria,Eastern Europe,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
Burkina Faso,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Burundi,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
